scenfile,max_agent_one_solvable,max_agent_all_solvable
Boston_0_256-random-4.scen,1000,140
empty-16-16-even-19.scen,120,50
ht_chantry-random-7.scen,1000,70
room-32-32-4-random-4.scen,330,30
ht_mansion_n-even-6.scen,1000,110
warehouse-20-40-10-2-1-even-17.scen,1000,310
warehouse-20-40-10-2-1-even-3.scen,1000,310
ht_mansion_n-even-22.scen,1000,110
random-64-64-20-random-16.scen,1000,120
lt_gallowstemplar_n-even-23.scen,1000,80
empty-32-32-random-11.scen,510,130
den520d-even-17.scen,1000,200
empty-16-16-random-19.scen,120,50
maze-128-128-2-even-6.scen,270,20
random-32-32-20-random-2.scen,400,60
ost003d-even-19.scen,1000,100
maze-128-128-1-even-5.scen,160,20
random-32-32-10-random-2.scen,460,110
Boston_0_256-random-2.scen,1000,140
ost003d-even-8.scen,1000,100
warehouse-20-40-10-2-1-even-2.scen,1000,310
empty-32-32-even-9.scen,510,130
room-64-64-16-even-5.scen,730,60
empty-32-32-random-7.scen,510,130
maze-128-128-10-even-8.scen,1000,40
maze-32-32-4-random-19.scen,290,30
ht_mansion_n-even-25.scen,1000,110
random-32-32-20-even-20.scen,400,60
empty-48-48-random-9.scen,1000,180
empty-32-32-random-2.scen,510,130
empty-48-48-random-15.scen,1000,180
warehouse-20-40-10-2-1-random-21.scen,1000,310
maze-32-32-4-random-23.scen,290,30
ht_chantry-random-14.scen,1000,70
maze-128-128-1-random-19.scen,160,20
random-32-32-20-random-15.scen,400,60
room-64-64-16-even-6.scen,730,60
Berlin_1_256-even-14.scen,1000,300
ost003d-random-8.scen,1000,100
den520d-even-3.scen,1000,200
Boston_0_256-even-23.scen,1000,140
maze-128-128-1-even-15.scen,160,20
room-64-64-16-random-23.scen,730,60
warehouse-10-20-10-2-1-random-12.scen,1000,130
den520d-random-14.scen,1000,200
room-64-64-16-even-21.scen,730,60
empty-8-8-even-12.scen,30,30
den312d-random-6.scen,850,50
maze-128-128-1-random-12.scen,160,20
maze-128-128-2-random-13.scen,270,20
empty-32-32-random-16.scen,510,130
warehouse-20-40-10-2-1-even-9.scen,1000,310
ht_chantry-random-6.scen,1000,70
random-64-64-20-even-15.scen,1000,120
random-32-32-10-even-2.scen,460,110
room-32-32-4-random-12.scen,330,30
Berlin_1_256-even-24.scen,1000,300
Berlin_1_256-even-6.scen,1000,300
empty-16-16-even-9.scen,120,50
Boston_0_256-random-6.scen,1000,140
Paris_1_256-random-24.scen,1000,240
empty-16-16-random-10.scen,120,50
maze-32-32-4-random-18.scen,290,30
warehouse-10-20-10-2-2-even-6.scen,1000,240
ost003d-even-14.scen,1000,100
maze-32-32-2-even-15.scen,160,30
random-32-32-20-random-22.scen,400,60
warehouse-20-40-10-2-2-even-24.scen,1000,390
den312d-random-11.scen,850,50
lt_gallowstemplar_n-even-21.scen,1000,80
ht_mansion_n-even-20.scen,1000,110
random-64-64-10-even-9.scen,1000,180
room-32-32-4-even-11.scen,330,30
room-32-32-4-even-3.scen,330,30
warehouse-20-40-10-2-1-random-8.scen,1000,310
warehouse-20-40-10-2-1-random-13.scen,1000,310
warehouse-20-40-10-2-1-random-4.scen,1000,310
Berlin_1_256-even-23.scen,1000,300
Paris_1_256-even-20.scen,1000,240
den312d-even-13.scen,850,50
warehouse-10-20-10-2-2-random-22.scen,1000,240
random-64-64-20-random-7.scen,1000,120
lak303d-even-11.scen,1000,70
room-64-64-16-random-10.scen,730,60
lak303d-even-24.scen,1000,70
empty-8-8-random-5.scen,30,30
empty-16-16-even-12.scen,120,50
warehouse-20-40-10-2-2-random-2.scen,1000,390
room-64-64-16-even-10.scen,730,60
lak303d-random-25.scen,1000,70
warehouse-20-40-10-2-2-random-10.scen,1000,390
Paris_1_256-even-13.scen,1000,240
