scenfile,max_agent_one_solvable
Berlin_1_256-even-1.scen,950
Berlin_1_256-even-10.scen,950
Berlin_1_256-even-11.scen,950
Berlin_1_256-even-12.scen,960
Berlin_1_256-even-13.scen,930
Berlin_1_256-even-14.scen,950
Berlin_1_256-even-15.scen,1000
Berlin_1_256-even-16.scen,960
Berlin_1_256-even-18.scen,930
Berlin_1_256-even-19.scen,940
Berlin_1_256-even-20.scen,990
Berlin_1_256-even-22.scen,970
Berlin_1_256-even-24.scen,1000
Berlin_1_256-even-25.scen,970
Berlin_1_256-even-4.scen,960
Berlin_1_256-even-5.scen,950
Berlin_1_256-even-6.scen,980
Berlin_1_256-even-7.scen,980
Berlin_1_256-even-8.scen,970
Berlin_1_256-even-9.scen,970
Berlin_1_256-random-1.scen,990
Berlin_1_256-random-10.scen,1000
Berlin_1_256-random-11.scen,1000
Berlin_1_256-random-12.scen,990
Berlin_1_256-random-13.scen,990
Berlin_1_256-random-14.scen,1000
Berlin_1_256-random-15.scen,1000
Berlin_1_256-random-16.scen,1000
Berlin_1_256-random-17.scen,1000
Berlin_1_256-random-18.scen,990
Berlin_1_256-random-19.scen,1000
Berlin_1_256-random-2.scen,990
Berlin_1_256-random-20.scen,990
Berlin_1_256-random-21.scen,990
Berlin_1_256-random-22.scen,1000
Berlin_1_256-random-23.scen,990
Berlin_1_256-random-24.scen,1000
Berlin_1_256-random-25.scen,1000
Berlin_1_256-random-3.scen,1000
Berlin_1_256-random-4.scen,990
Berlin_1_256-random-5.scen,1000
Berlin_1_256-random-6.scen,990
Berlin_1_256-random-7.scen,1000
Berlin_1_256-random-8.scen,1000
Berlin_1_256-random-9.scen,990
Boston_0_256-even-1.scen,950
Boston_0_256-even-10.scen,960
Boston_0_256-even-11.scen,980
Boston_0_256-even-13.scen,930
Boston_0_256-even-18.scen,950
Boston_0_256-even-19.scen,950
Boston_0_256-even-20.scen,950
Boston_0_256-even-21.scen,820
Boston_0_256-even-22.scen,950
Boston_0_256-even-24.scen,970
Boston_0_256-even-25.scen,930
Boston_0_256-even-4.scen,960
